time,current,voltage
1.75249345,0.00165332426,-9.99877278
1.75281929,0.00170181704,-9.99843109
1.75319177,0.00170192353,-9.99798916
1.75363101,0.00170192506,-9.99739765
1.75450949,0.0017018324,-9.9959862
1.75626645,0.00170144802,-9.99224973
1.75826645,0.00170071367,-9.9865144
1.76026645,0.00169968638,-9.97920208
1.76226645,0.0016983676,-9.97031394
1.76426645,0.00169676211,-9.95985136
1.76626645,0.00169486662,-9.94781601
1.76826645,0.0016927922,-9.93420978
1.77026645,0.00169042107,-9.91903483
1.77226645,0.00168781259,-9.90229355
1.77426645,0.00168490022,-9.88398858
1.77626645,0.00168174449,-9.86412281
1.77826645,0.00167828192,-9.84269938
1.78026645,0.00167457712,-9.81972168
1.78051645,0.00167398553,-9.81674036
1.78101645,0.00167289752,-9.81070506
1.78201645,0.00167088643,-9.79834404
1.78401645,0.00166665629,-9.77246204
1.78601645,0.00166215869,-9.74503686
1.78801645,0.00165738987,-9.71607282
1.79001645,0.00165235026,-9.6855745
1.79201645,0.00164704035,-9.65354672
1.79401645,0.00164146071,-9.61999453
1.79426645,0.00164074504,-9.61569358
1.79476645,0.00163930252,-9.60702052
1.79576645,0.00163636235,-9.58939003
1.79776645,0.00163028196,-9.55299405
1.79976645,0.0016239306,-9.51508954
1.80176645,0.00161732161,-9.47568248
1.80376645,0.00161044369,-9.4347791
1.80576645,0.0016032979,-9.39238587
1.80776645,0.00159589361,-9.34850946
1.80801645,0.00159495372,-9.34292097
1.80851645,0.00159305364,-9.33167484
1.80951645,0.00158920462,-9.30890639
1.81151645,0.00158130754,-9.26226791
1.81351645,0.00157315575,-9.21416681
1.81551645,0.00156474678,-9.16461068
1.81751645,0.00155608211,-9.11360736
1.81951645,0.00154716333,-9.06116489
1.82151645,0.00153799209,-9.00729156
1.82351645,0.00152857011,-8.95199587
1.82551645,0.00151889916,-8.89528656
1.82751645,0.00150898106,-8.83717258
1.82951645,0.00149881771,-8.77766311
1.83151645,0.00148841104,-8.71676754
1.83351645,0.001477763,-8.6544955
1.83551645,0.00146687561,-8.59085681
1.83751645,0.00145575092,-8.52586152
1.83951645,0.00144439102,-8.4595199
1.84151645,0.00143279804,-8.39184243
1.84351645,0.00142097415,-8.32283978
1.84551645,0.00140892155,-8.25252287
1.84751645,0.00139664248,-8.18090278
1.84951645,0.00138413921,-8.10799083
1.85151645,0.00137141404,-8.03379854
1.85351645,0.00135846933,-7.95833762
1.85551645,0.00134530741,-7.88161999
1.85751645,0.00133193066,-7.80365775
1.85951645,0.00131834146,-7.72446323
1.86151645,0.00130454226,-7.64404893
1.86351645,0.00129053553,-7.56242754
1.86551645,0.00127632373,-7.47961196
1.86751645,0.0012620734,-7.39561525
1.86951645,0.00124764604,-7.3104507
1.87151645,0.00123301348,-7.22413174
1.87351645,0.0012181807,-7.13667201
1.87551645,0.00120314803,-7.04808531
1.87751645,0.00118791858,-6.95838564
1.87951645,0.00117249482,-6.86758716
1.88151645,0.00115687927,-6.77570421
1.88351645,0.00114107447,-6.68275129
1.88376645,0.001139085,-6.67105768
1.88426645,0.00113509873,-6.64762109
1.88526645,0.00112709141,-6.60055133
1.88726645,0.00111093949,-6.50563193
1.88926645,0.00109460526,-6.40968521
1.89126645,0.00107809234,-6.31272633
1.89326645,0.00106140362,-6.2147706
1.89526645,0.0010445418,-6.11583349
1.89726645,0.00102750971,-6.01593061
1.89926645,0.00101031108,-5.91507775
1.90126645,0.000992949442,-5.81329083
1.90326645,0.000975427507,-5.71058592
1.90526645,0.000957748171,-5.60697925
1.90726645,0.000939914379,-5.50248717
1.90926645,0.000921929096,-5.39712618
1.91126645,0.000903795312,-5.29091292
1.91326645,0.000885516047,-5.18386417
1.91526645,0.000867094995,-5.07599683
1.91726645,0.000848535598,-4.96732792
1.91926645,0.000829840659,-4.85787462
1.92126645,0.000811013239,-4.7476542
1.92326645,0.000792056415,-4.63668407
1.92526645,0.000772974431,-4.52498176
1.92726645,0.000753770913,-4.4125649
1.92926645,0.000734448356,-4.29945125
1.93126645,0.000715009825,-4.18565866
1.93326645,0.000695458389,-4.0712051
1.93526645,0.000675797135,-3.95610866
1.93726645,0.000656029169,-3.8403875
1.93926645,0.000636157612,-3.7240599
1.94126645,0.000616185601,-3.60714423
1.94326645,0.000596116291,-3.48965895
1.94526645,0.00057595285,-3.37162261
1.94726645,0.000555698463,-3.25305385
1.94926645,0.000535356328,-3.13397139
1.95126645,0.000514929657,-3.01439405
1.95326645,0.000494421676,-2.8943407
1.95526645,0.000473835624,-2.7738303
1.95726645,0.00045317475,-2.65288188
1.95926645,0.000432442318,-2.53151453
1.96126645,0.000411641601,-2.40974744
1.96326645,0.000390775885,-2.28759981
1.96526645,0.000369848463,-2.16509095
1.96726645,0.000348862641,-2.04224019
1.96926645,0.000327821732,-1.91906694
1.97126645,0.00030672906,-1.79559065
1.97326645,0.000285587954,-1.67183081
1.97526645,0.000264401754,-1.54780698
1.97726645,0.000243173804,-1.42353872
1.97926645,0.000221907457,-1.29904567
1.98126645,0.000200606071,-1.17434749
1.98326645,0.00017927301,-1.04946386
1.98526645,0.000157911642,-0.924414515
1.98726645,0.000136525341,-0.799219191
1.98926645,0.000115117484,-0.67389766
1.99126645,9.36914507e-05,-0.548469714
1.99326645,7.22506252e-05,-0.422955158
1.99526645,5.07983932e-05,-0.297373812
1.99726645,2.93381421e-05,-0.171745508
1.99926645,7.87326071e-06,-0.0460900827
2.00126645,-1.35928615e-05,0.0795726205
2.00326645,-3.50568347e-05,0.205222758
2.00526645,-5.65152695e-05,0.330840489
2.00726645,-7.79647775e-05,0.456405976
2.00926645,-9.94019715e-05,0.581899392
2.01126645,-0.000120823466,0.707300918
2.01326645,-0.00014222588,0.832590754
2.01526645,-0.000163605831,0.957749114
2.01726645,-0.000184959992,1.08275623
2.01926645,-0.000206285347,1.20759237
2.02126645,-0.000227578849,1.33223782
2.02326645,-0.000248837504,1.45667289
2.02526645,-0.000270058118,1.58087794
2.02726645,-0.000291237551,1.70483335
2.02926645,-0.000311646628,1.82851954
2.03126645,-0.000327877269,1.95191699
2.03326645,-0.000337058531,2.07500621
2.03526645,-0.000339495432,2.19776776
2.03726645,-0.00033549705,2.32018226
2.03926645,-0.000327481467,2.44223038
2.04126645,-0.000315863218,2.56389284
2.04326645,-0.0003021733,2.68515043
2.04526645,-0.000287430451,2.805984
2.04726645,-0.000272398604,2.92637448
2.04926645,-0.000257609306,3.04630285
2.05126645,-0.000243405321,3.16575017
2.05326645,-0.000229987523,3.28469758
2.05526645,-0.000217456206,3.4031263
2.05726645,-0.000205843852,3.52101763
2.05926645,-0.000195139439,3.63835295
2.06126645,-0.000185305655,3.75511373
2.06326645,-0.000176290648,3.87128154
2.06526645,-0.000168035785,3.98683802
2.06726645,-0.000160480614,4.10176494
2.06926645,-0.000153565903,4.21604414
2.07126645,-0.0001472354,4.32965758
2.07326645,-0.000141436759,4.44258731
2.07526645,-0.000136121926,4.55481551
2.07726645,-0.000131247194,4.66632445
2.07926645,-0.000126773061,4.77709652
2.08126645,-0.000122663983,4.88711424
2.08326645,-0.000118888061,4.99636022
2.08526645,-0.000115416349,5.10481722
2.08726645,-0.000112222702,5.21246811
2.08926645,-0.00010928366,5.31929589
2.09126645,-0.000106577981,5.4252837
2.09326645,-0.000104086652,5.53041478
2.09526645,-0.000101792441,5.63467255
2.09726645,-9.96798876e-05,5.73804054
2.09926645,-9.77352507e-05,5.84050243
2.10126645,-9.59460774e-05,5.94204204
2.10326645,-9.43010467e-05,6.04264332
2.10526645,-9.27898397e-05,6.14229041
2.10726645,-9.14030274e-05,6.24096755
2.10926645,-9.0131956e-05,6.33865917
2.11126645,-8.89686173e-05,6.43534985
2.11326645,-8.78194676e-05,6.53102431
2.11526645,-8.68552998e-05,6.62566744
2.11726645,-8.59776187e-05,6.71926431
2.11926645,-8.51802079e-05,6.81180013
2.12126645,-8.44572606e-05,6.90326028
2.12326645,-8.3802154e-05,6.99363033
2.12526645,-8.32088082e-05,7.082896
2.12726645,-8.26723865e-05,7.1710432
2.12926645,-8.21877988e-05,7.25805801
2.13126645,-8.17500755e-05,7.34392669
2.13326645,-8.13542481e-05,7.42863568
2.13526645,-8.09954516e-05,7.5121716
2.13726645,-8.06690176e-05,7.59452126
2.13926645,-8.0370345e-05,7.67567166
2.14126645,-8.00949151e-05,7.75560998
2.14326645,-7.98383185e-05,7.8343236
2.14526645,-7.95962532e-05,7.91180009
2.14726645,-7.93645639e-05,7.98802722
2.14926645,-7.91392985e-05,8.06299294
2.15126645,-7.89166926e-05,8.13668543
2.15326645,-7.86932033e-05,8.20909303
2.15526645,-7.84655367e-05,8.28020433
2.15726645,-7.82306718e-05,8.35000808
2.15926645,-7.79858828e-05,8.41849327
